click_id,is_attributed
899999,1
900000,1
900001,1
900002,1
900003,1
900004,1
900005,1
900006,1
900008,1
900007,1
900009,1
900010,1
900011,1
900012,1
900013,1
900014,1
900015,1
900016,1
900017,1
900018,1
900019,1
900020,1
900021,1
900022,1
900023,1
900024,1
900025,1
900026,1
900027,1
900028,1
900029,1
900030,1
900031,1
900032,1
900033,1
900034,1
900035,1
900036,1
900040,1
900039,1
900037,1
900038,1
900041,1
900042,1
900043,1
900044,1
900045,1
900046,1
900048,1
900047,1
900049,1
900050,1
900051,1
900052,1
900053,1
900054,1
900055,1
900056,1
900059,1
900057,1
900058,1
900060,1
900061,1
900062,1
900063,1
900064,1
900066,1
900065,1
900067,1
900068,1
900069,1
900070,1
900071,1
900072,1
900073,1
900074,1
900075,1
900076,1
900077,1
900078,1
900079,1
900080,1
900081,1
900082,1
900083,1
900084,1
900085,1
900086,1
900087,1
900088,1
900089,1
900090,1
900093,1
900092,1
900091,1
900094,1
900095,1
900096,1
900097,1
900098,1
900099,1
900100,1
900103,1
900101,1
900102,1
900104,1
900105,1
900106,1
900107,1
900108,1
900109,1
900110,1
900111,1
900112,1
900113,1
900114,1
900115,1
900116,1
900117,1
900118,1
900119,1
900120,1
900121,1
900122,1
900123,1
900124,1
900125,1
900126,1
900127,1
900128,1
900129,1
900130,1
900131,1
900132,1
900133,1
900134,1
900135,1
900137,1
900136,1
900138,1
900139,1
900140,1
900141,1
900142,1
900143,1
900144,1
900145,1
900146,1
900147,1
900148,1
900149,1
900150,1
900151,1
900152,1
900153,1
900155,1
900154,1
900156,1
900157,1
900158,1
900159,1
900160,1
900161,1
900162,1
900163,1
900164,1
900165,1
900166,1
900167,1
900168,1
900169,1
900170,1
900171,1
900173,1
900172,1
900174,1
900175,1
900176,1
900177,1
900178,1
900179,1
900180,1
900181,1
900182,1
900183,1
900184,1
900185,1
900186,1
900187,1
900189,1
900188,1
900192,1
900191,1
900190,1
900193,1
900194,1
900195,1
900196,1
900197,1
900198,1
900199,1
900201,1
900200,1
900202,1
900203,1
900204,1
900205,1
900206,1
900207,1
900208,1
900211,1
900209,1
900210,1
900212,1
900213,1
900214,1
900215,1
900216,1
900217,1
900218,1
900219,1
900220,1
900221,1
900222,1
900223,1
900224,1
900225,1
900227,1
900226,1
900228,1
900229,1
900230,1
900231,1
900232,1
900233,1
900235,1
900236,1
900234,1
900237,1
900238,1
900239,1
900243,1
900240,1
900241,1
900242,1
900246,1
900244,1
900245,1
900247,1
900248,1
900249,1
900250,1
900251,1
900252,1
900253,1
900254,1
900255,1
900256,1
900257,1
900258,1
900260,1
900259,1
900261,1
900262,1
900263,1
900264,1
900265,1
900266,1
900267,1
900268,1
900269,1
900270,1
900272,1
900271,1
900273,1
900274,1
900275,1
900276,1
900277,1
900278,1
900280,1
900279,1
900281,1
900282,1
900283,1
900284,1
900285,1
900286,1
900287,1
900288,1
900289,1
900290,1
900291,1
900292,1
900293,1
900294,1
900295,1
900296,1
900297,1
900298,1
900300,1
900299,1
900301,1
900302,1
900303,1
900304,1
900305,1
900306,1
900307,1
900308,1
900309,1
900310,1
900311,1
900312,1
900313,1
900314,1
900315,1
900318,1
900316,1
900317,1
900319,1
900320,1
900321,1
900322,1
900323,1
900324,1
900325,1
900326,1
900327,1
900328,1
900329,1
900332,1
900330,1
900331,1
900333,1
900335,1
900334,1
900336,1
900337,1
900338,1
900339,1
900340,1
900341,1
900342,1
900344,1
900343,1
900345,1
900346,1
900347,1
900348,1
900349,1
900350,1
900351,1
900352,1
900353,1
900354,1
900355,1
900356,1
900357,1
900358,1
900359,1
900360,1
900361,1
900362,1
900363,1
900364,1
900365,1
900366,1
900367,1
900368,1
900369,1
900371,1
900370,1
900372,1
900373,1
900374,1
900375,1
900376,1
900377,1
900378,1
900379,1
900380,1
900381,1
900382,1
900383,1
900384,1
900385,1
900386,1
900387,1
900388,1
900389,1
900390,1
900391,1
900392,1
900393,1
900394,1
900395,1
900396,1
900397,1
900398,1
900399,1
900400,1
900401,1
900402,1
900403,1
900404,1
900406,1
900405,1
900407,1
900408,1
900409,1
900410,1
900411,1
900412,1
900415,1
900414,1
900413,1
900416,1
900417,1
900418,1
900419,1
900420,1
900421,1
900422,1
900423,1
900424,1
900425,1
900426,1
900427,1
900428,1
900429,1
900430,1
900431,1
900432,1
900433,1
900434,1
900435,1
900436,1
900437,1
900438,1
900439,1
900440,1
900441,1
900442,1
900443,1
900444,1
900445,1
900446,1
900447,1
900448,1
900449,1
900450,1
900451,1
900452,1
900453,1
900454,1
900455,1
900456,1
900457,1
900458,1
900459,1
900460,1
900461,1
900462,1
900463,1
900464,1
900465,1
900466,1
900467,1
900468,1
900469,1
900470,1
900471,1
900472,1
900473,1
900474,1
900475,1
900477,1
900478,1
900476,1
900479,1
900480,1
900481,1
900482,1
900483,1
900486,1
900484,1
900485,1
900487,1
900488,1
900489,1
900490,1
900491,1
900492,1
900494,1
900493,1
900495,1
900496,1
900497,1
900498,1
900499,1
900500,1
900501,1
900502,1
900503,1
900504,1
900505,1
900506,1
900507,1
900508,1
900509,1
900510,1
900512,1
900513,1
900511,1
900515,1
900514,1
900516,1
900517,1
900518,1
900519,1
900520,1
900521,1
900522,1
900523,1
900524,1
900525,1
900526,1
900527,1
900528,1
900529,1
900530,1
900531,1
900532,1
900533,1
900534,1
900535,1
900536,1
900537,1
900538,1
900539,1
900540,1
900541,1
900542,1
900543,1
900544,1
900545,1
900546,1
900549,1
900550,1
900547,1
900548,1
900551,1
900552,1
900553,1
900554,1
900555,1
900557,1
900556,1
900558,1
900559,1
900560,1
900561,1
900562,1
900564,1
900563,1
900566,1
900567,1
900565,1
900568,1
900569,1
900570,1
900571,1
900572,1
900573,1
900574,1
900576,1
900575,1
900577,1
900578,1
900579,1
900580,1
900581,1
900582,1
900583,1
900584,1
900585,1
900586,1
900587,1
900588,1
900589,1
900590,1
900591,1
900592,1
900593,1
900594,1
900595,1
900596,1
900597,1
900598,1
900599,1
900600,1
900601,1
900603,1
900604,1
