click_id,is_attributed
83917,1
99976,1
92615,1
62015,1
5147,1
99583,1
79857,1
7645,1
112867,1
22189,1
110692,1
20626,1
54536,1
68248,1
92844,1
64960,1
47251,1
1659,1
31382,1
87612,1
77867,1
61850,1
44005,1
99944,1
111280,1
99897,1
81380,1
20556,1
122635,1
77462,1
119349,1
85439,1
91567,1
68550,1
107571,1
14074,1
26806,1
107571,1
115487,1
17342,1
79017,1
45920,1
65501,1
78100,1
22704,1
17329,1
39330,1
106040,1
73487,1
65716,1
110640,1
5178,1
74324,1
111621,1
119848,1
113076,1
107571,1
83917,1
15927,1
73305,1
89779,1
38711,1
106437,1
81574,1
125790,1
81896,1
103531,1
14966,1
23434,1
55179,1
42208,1
29568,1
2982,1
5520,1
65716,1
77107,1
42176,1
66638,1
45730,1
7645,1
73487,1
79090,1
114220,1
53479,1
38449,1
88071,1
109209,1
103090,1
119498,1
102365,1
46789,1
117299,1
9674,1
39889,1
125222,1
37776,1
106563,1
97028,1
72164,1
25553,1
6437,1
121472,1
55892,1
115977,1
32976,1
102467,1
30173,1
13045,1
54324,1
48288,1
6871,1
45399,1
86280,1
106279,1
51992,1
30187,1
111732,1
94076,1
70144,1
42041,1
99218,1
125222,1
99809,1
110445,1
100268,1
58466,1
56765,1
8180,1
5348,1
5178,1
19812,1
80518,1
115977,1
126401,1
12725,1
113659,1
119545,1
51979,1
103247,1
103091,1
98738,1
71818,1
58410,1
125456,1
96105,1
117407,1
40501,1
5314,1
85442,1
18558,1
50284,1
115977,1
65746,1
124766,1
66289,1
116932,1
12912,1
110578,1
98491,1
56317,1
29568,1
75807,1
100933,1
1439,1
84794,1
101074,1
124596,1
8352,1
87882,1
81443,1
17149,1
71189,1
68381,1
88356,1
34595,1
105649,1
77107,1
7645,1
59384,1
76598,1
79857,1
38010,1
8582,1
114276,1
77579,1
15572,1
11448,1
7521,1
95546,1
107898,1
37375,1
89525,1
92583,1
88063,1
55003,1
105645,1
119219,1
118315,1
87539,1
48182,1
53406,1
59245,1
7645,1
49946,1
100245,1
98639,1
97104,1
119734,1
68161,1
123871,1
7283,1
5275,1
45366,1
119289,1
106563,1
90133,1
4573,1
104764,1
64209,1
105587,1
111033,1
8924,1
81607,1
92829,1
109723,1
22199,1
110304,1
28590,1
109743,1
39328,1
72397,1
64209,1
93004,1
5348,1
38449,1
91463,1
30564,1
16999,1
73487,1
7645,1
69605,1
39330,1
16952,1
51031,1
112302,1
115994,1
52767,1
38449,1
91799,1
99583,1
9419,1
4693,1
64209,1
68186,1
85145,1
77048,1
73839,1
54536,1
109742,1
84464,1
33180,1
45745,1
83306,1
17149,1
95145,1
65716,1
63028,1
101896,1
7611,1
36022,1
32467,1
105160,1
63275,1
73487,1
15030,1
59997,1
93587,1
9119,1
39173,1
117407,1
110958,1
119289,1
23515,1
17538,1
83111,1
77276,1
76855,1
124540,1
5348,1
53715,1
123901,1
5348,1
121178,1
125232,1
102493,1
22012,1
90078,1
33157,1
111172,1
97858,1
72090,1
75109,1
99427,1
114770,1
110958,1
99275,1
58415,1
71763,1
89636,1
93054,1
122982,1
82658,1
38575,1
81377,1
126123,1
12840,1
122330,1
11924,1
5275,1
106774,1
46144,1
76524,1
85887,1
51464,1
119289,1
30304,1
66481,1
115724,1
21258,1
48569,1
48270,1
41827,1
40654,1
27177,1
125422,1
35019,1
88746,1
89845,1
69133,1
33613,1
68537,1
48290,1
2027,1
68248,1
37931,1
90521,1
27177,1
112062,1
60522,1
106563,1
5147,1
1292,1
113958,1
101919,1
70649,1
23999,1
100245,1
20012,1
53044,1
48523,1
77314,1
29185,1
83815,1
6871,1
116706,1
83979,1
125129,1
13564,1
73516,1
48615,1
33549,1
116198,1
5314,1
40430,1
69770,1
44527,1
4168,1
69734,1
70494,1
37475,1
85625,1
19216,1
64495,1
99769,1
19870,1
120076,1
65717,1
122411,1
112574,1
113508,1
96760,1
92183,1
74294,1
53406,1
10,1
5314,1
993,1
88356,1
118563,1
56544,1
45648,1
53406,1
88356,1
80660,1
3964,1
21042,1
79192,1
36792,1
6853,1
100275,1
74324,1
53406,1
12717,1
26527,1
29185,1
55642,1
31426,1
73042,1
6871,1
79192,1
4461,1
5147,1
1082,1
67772,1
85489,1
124766,1
84362,1
126241,1
118597,1
119863,1
64464,1
52743,1
34520,1
15034,1
55342,1
52830,1
126335,1
113524,1
25591,1
9190,1
42029,1
56754,1
70456,1
46468,1
110062,1
114923,1
83366,1
124688,1
103241,1
27177,1
43134,1
125362,1
38755,1
27177,1
68056,1
88660,1
30961,1
19475,1
19870,1
62245,1
73516,1
1082,1
113654,1
116935,1
91567,1
116083,1
61066,1
9955,1
28714,1
71579,1
50328,1
83252,1
95297,1
3520,1
23848,1
81607,1
88070,1
60677,1
119545,1
31382,1
12717,1
21775,1
